sektor_kodu,sektor_tanim,meslek_kodu,meslek_tanim,nace_code,nace_label,division,bucket,normalized_meslek,normalized_nace_label
D,AĞAÇ İŞLERİ,A.01,İkinci el eşya ticareti,47.79.04,"Kullanılmış mobilya, elektrikli ve elektronik ev eşyası perakende ticareti",47,trade,ikinci el eşya ticareti,kullanılmış mobilya elektrikli ve elektronik ev eşyası perakende ticareti
F,AĞAÇ İŞLERİ,A.01,İkinci el eşya ticareti,47.79.90,Diğer ikinci el eşya perakende ticareti (ikinci el motorlu kara taşıtları ve motosiklet parçaları hariç),47,trade,ikinci el eşya ticareti,diğer ikinci el eşya perakende ticareti ikinci el motorlu kara taşıtları ve motosiklet parçaları hariç
D,AĞAÇ İŞLERİ,A.01,İkinci el eşya ticareti,47.92.00,Uzmanlaşmış perakende ticaret için aracılık hizmeti faaliyetleri,47,trade,ikinci el eşya ticareti,uzmanlaşmış perakende ticaret için aracılık hizmeti faaliyetleri
D,AĞAÇ İŞLERİ,A.01,İkinci el eşya ticareti,77.22.99,"Başka yerde sınıflandırılmamış diğer kişisel ve ev eşyalarının kiralanması ve operasyonel leasingi (müzik aleti, giyim eşyası, mücevher vb. ile video kasetler, büro mobilyaları, eğlence ve spor ekipmanları hariç)",77,services,ikinci el eşya ticareti,başka yerde sınıflandırılmamış diğer kişisel ve ev eşyalarının kiralanması ve operasyonel leasingi müzik aleti giy eşyası mücevher vb ile video kasetler büro mobilyaları eğlence ve spor ekipmanları hariç
D,AĞAÇ İŞLERİ,A.02,Kerestecilik,02.40.01,"Ormanda ağaçların kesilmesi, dallarından temizlenmesi, soyulması vb. destekleyici faaliyetler",02,agriculture,kerestecilik,ormanda ağaçların kesilmesi dallarından temizlenmesi soyulması vb destekleyici faaliyetler
D,AĞAÇ İŞLERİ,A.02,Kerestecilik,02.40.02,"Ormanda kesilmiş ve temizlenmiş ağaçların taşınması, istiflenmesi ve yüklenmesi faaliyetleri",02,agriculture,kerestecilik,ormanda kesilmiş ve temizlenmiş ağaçların taşınması istiflenmesi ve yüklenmesi faaliyetleri
D,AĞAÇ İŞLERİ,A.02,Kerestecilik,16.11.01,"Kereste imalatı (ağaçların biçilmesi, planyalanması, rendelenmesi ve şekillendirilmesi faaliyetleri)",16,manufacturing,kerestecilik,kereste imalatı ağaçların biçilmesi planyalanması rendelenmesi ve şekillendirilmesi faaliyetleri
D,AĞAÇ İŞLERİ,A.02,Kerestecilik,16.12.00,Ahşabın işlenmesi ve bitirilmesi (bir ücret veya sözleşmeye dayalı olarak gerçekleştirilen),16,manufacturing,kerestecilik,ahşabın işlenmesi ve bitirilmesi bir ücret veya sözleşmeye dayalı olarak gerçekleştirilen
D,AĞAÇ İŞLERİ,A.02,Kerestecilik,46.13.02,Kereste ve kereste ürünlerinin toptan satışı ile ilgili aracıların faaliyetleri,46,trade,kerestecilik,kereste ve kereste ürünlerinin toptan satışı ile ilgili aracıların faaliyetleri
D,AĞAÇ İŞLERİ,A.02,Kerestecilik,46.83.02,Ağacın ilk işlenmesinden elde edilen ürünlerin toptan ticareti,46,trade,kerestecilik,ağacın ilk işlenmesinden elde edilen ürünlerin toptan ticareti
D,AĞAÇ İŞLERİ,A.02,Kerestecilik,46.83.12,"İşlenmemiş ağaç (tomruk-ham haldeki) toptan ticareti (orman ağaçları, endüstriyel odunlar vb.)",46,trade,kerestecilik,işlenmemiş ağaç tomruk ham haldeki toptan ticareti orman ağaçları endüstriyel odunlar vb
D,AĞAÇ İŞLERİ,A.02,Kerestecilik,47.52.10,"Ağacın ilk işlenmesinden elde edilen ürünlerin perakende ticareti (kereste, ağaç talaşı ve yongası, kontrplak, yonga ve lifli levhalar (mdf, sunta vb.), parke, ahşap varil, fıçı ve diğer muhafazalar, vb.)",47,trade,kerestecilik,ağacın ilk işlenmesinden elde edilen ürünlerin perakende ticareti kereste ağaç talaşı ve yongası kontrplak yonga ve lifli levhalar mdf sunta vb parke ahşap varil fıçı ve diğer muhafazalar vb
D,AĞAÇ İŞLERİ,A.03,Marangozluk,16.11.02,Ahşap demir yolu veya tramvay traversi imalatı,16,manufacturing,marangozluk,ahşap demir yolu veya tramvay traversi imalatı
D,AĞAÇ İŞLERİ,A.03,Marangozluk,16.11.03,"Ağaç yünü, ağaç unu, ağaç talaşı, ağaç yonga imalatı",16,manufacturing,marangozluk,ağaç yünü ağaç unu ağaç talaşı ağaç yonga imalatı
D,AĞAÇ İŞLERİ,A.03,Marangozluk,16.11.04,Ahşap döşemelerin ve yer döşemelerinin imalatı (birleştirilebilir parkeler hariç),16,manufacturing,marangozluk,ahşap döşemelerin ve yer döşemelerinin imalatı birleştirilebilir parkeler hariç
D,AĞAÇ İŞLERİ,A.03,Marangozluk,16.21.01,"Ahşap, bambu ve diğer odunsu malzemelerden kaplamalık plaka, levha, vb. imalatı (yaprak halde) (preslenmemiş)",16,manufacturing,marangozluk,ahşap bambu ve diğer odunsu malzemelerden kaplamalık plaka levha vb imalatı yaprak halde preslenmemiş
